smiles,FDA_APPROVED,CT_TOX
CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C(c3ccccc3)C(=O)[O-])C(=O)[O-])C,1,0
CCCCOc1ccc(cc1)OCCC[NH+]2CCOCC2,1,0
O=[Zn],1,0
CC(C)n1c2ccccc2c(c1/C=C/[C@@H](C[C@@H](CC(=O)[O-])O)O)c3ccc(cc3)F,1,0
CC(C)CC(C(=O)NC(CCCNC(=[NH2+])N)C(=O)N1CCCC1C(=O)NCC(=O)N)NC(=O)C(Cc2ccc3ccccc3c2)NC(=O)C(Cc4ccc(cc4)O)NC(=O)C(CO)NC(=O)C(Cc5c[nH]c6c5cccc6)NC(=O)C(Cc7c[nH]cn7)NC(=O)C8CCC(=O)N8,1,0
C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@]2(C#C)O)OC,1,0
CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)c2cccc3c2non3)C(=O)OC,1,0
c1cc(ccc1C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])NCC2CNc3c(c(=O)nc([nH]3)N)N2C=O,1,0
Cc1c(c2c(c(c1O)C)CC[C@@](O2)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C,1,0
c1cc(c(c(c1)Cl)Cl)c2c(nc(nn2)N)N,1,0
Cc1ccccc1C(=O)Nc2ccc(c(c2)C)C(=O)N3CCCC(c4c3ccc(c4)Cl)O,1,0
CC(C)(Cc1ccccc1)[NH3+],1,0
CC#CCn1c2c(nc1N3CCC[C@H](C3)[NH3+])n(c(=O)n(c2=O)Cc4nc(c5ccccc5n4)C)C,1,0
Cc1c(nc(nc1N)[C@H](CC(=O)N)[NH2+]C[C@@H](C(=O)N)N)C(=O)N[C@@H]([C@H](c2c[nH]cn2)O[C@H]3[C@H]([C@H]([C@@H]([C@@H](O3)CO)O)O)O[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)CO)O)OC(=O)N)O)C(=O)N[C@H](C)[C@H]([C@H](C)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCCc5nc(cs5)c6nc(cs6)C(=O)NCCC[S+](C)C)O,1,0
CCCCC(CC)COC(=O)/C=C/c1ccc(cc1)OC,1,0
C(CC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-])C[NH3+],1,0
C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC,1,0
C[NH+]1CCN(CC1)CCCN2c3ccccc3Sc4c2cc(cc4)C(F)(F)F,1,0
CCCCCNC(=[NH2+])N/N=C/c1c[nH]c2c1cc(cc2)OC,1,0
c1cc(ccc1C(CC(=O)[O-])C[NH3+])Cl,1,0
CC(C)[NH2+]CC(c1cc(cc(c1)O)O)O,1,0
c1cc2c(c(c1)OCC(COc3cccc4c3c(=O)cc(o4)C(=O)[O-])O)c(=O)cc(o2)C(=O)[O-],1,0
C[C@@H](Cc1ccccc1)NC(=O)[C@H](CCCC[NH3+])[NH3+],1,0
c1nc2c(n1CCC(CO)CO)[nH]c(nc2=O)N,1,0
CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)NC(C)(C)C)C(=O)NC(CC3CCC3)C(=O)C(=O)N)C,1,0
C[N+]1(CCCC1)CC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/c4csc(n4)N)SC2)C(=O)[O-],1,0
COc1cc(cc(c1OC)OC)Cc2cnc(nc2N)N,1,0
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,1,0
CC(=O)c1ccc(cc1)S(=O)(=O)[N-]C(=O)NC2CCCCC2,1,0
CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)N1)Cc2ccc(cc2)O)[NH3+])C(=O)N3CCCC3C(=O)NC(CC(C)C)C(=O)NCC(=O)N)CC(=O)N)C(C)O,1,0
c1nc(nn1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N,1,0
c1ccc(cc1)CC2=[NH+]CCN2,1,0
Cc1c(=O)c2cccc(c2oc1c3ccccc3)C(=O)OCC[NH+]4CCCCC4,1,0
Cl[Mn]Cl,1,0
C[N+]12CCC(CC1)C(C2)OC(=O)C(c3ccccc3)(c4ccccc4)O,1,0
CCC(/C=C/Cl)(C#C)O,1,0
C[NH+](C)CC/C=C\1/c2ccccc2COc3c1cc(cc3)CC(=O)[O-],1,0
COCCOc1cc2c(cc1OCCOC)ncnc2Nc3cccc(c3)C#C,1,0
CC1=C(C(C(=C(N1)C)C(=O)OC)c2ccccc2[N+](=O)[O-])C(=O)OC,1,0
C[C@@H]1CCC2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OC(=O)C(C)(CO)CO)C)/C)O)OC)C)C)/C)OC,1,0
C1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2CO[C@H]([C@@H]([C@H]2OS(=O)(=O)[O-])OS(=O)(=O)[O-])O)OS(=O)(=O)[O-])OS(=O)(=O)[O-])O,1,0
c1cc(ccc1SC(P(=O)([O-])[O-])P(=O)([O-])[O-])Cl,1,0
c1ccc(cc1)C(CC[NH+]2CCCCC2)(C3CCCCC3)O,1,0
C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O,1,0
Cc1cn(c(=O)[nH]c1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-],1,0
CCCCc1c(c2cc(ccc2o1)NS(=O)(=O)C)C(=O)c3ccc(cc3)OCCC[NH+](CCCC)CCCC,1,0
CC(Cc1ccc(cc1)OC)[NH2+]CC(c2ccc(c(c2)NC=O)O)O,1,0
COc1ccc(cc1)O,1,0
